state,district,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20
Texas,17,2735,2868,3041,3272,3574,3747,4005,4249,4698,4998,5309,5737,5896,6124
Texas,18,4176,4409,4620,4831,4987,5006,5255,5373,5619,5832,6039,6141,6258,6460
Texas,19,3055,3233,3427,3625,3777,3854,3917,4109,4383,4708,4984,5159,5163,5213
Texas,20,2912,3039,3180,3440,3605,4130,4394,4394,5089,5089,5241,5784,5923,6147
Texas,21,3018,3202,3409,3576,3713,4064,4305,4436,4886,5111,5320,5648,5726,5907
Texas,22,3879,3958,4095,4260,4508,4614,4679,4727,4841,4989,5157,5318,5380,5467
Texas,23,2834,2969,3129,3319,3445,3692,3892,4068,4599,4688,4839,5246,5315,5481
Texas,24,4184,4253,4467,4599,4745,4808,5012,5194,5373,5491,5723,5903,6068,6446
Texas,25,2920,3079,3216,3325,3437,3614,3831,4048,4265,4525,4740,4857,4891,5069
Texas,26,2612,2681,2856,2948,3051,3124,3179,3286,3423,3511,3618,3744,3823,3987
Texas,27,1973,2157,2447,2764,3142,3387,3817,4152,4831,5311,5644,5982,6306,6847
Texas,28,2487,2621,2841,3016,3203,3388,3811,3926,4325,4478,4739,5015,5104,5284
Texas,29,4176,4409,4620,4831,4987,5006,5255,5373,5619,5832,6039,6141,6258,6460
Texas,30,5234,5350,5469,5615,5781,5781,6117,6295,6455,6664,6984,7310,7623,7981
Texas,31,2276,2436,2599,2727,2853,3022,3103,3285,3508,3627,3785,3823,3823,4505
Texas,32,5017,5131,5247,5386,5543,5552,5872,6044,6201,6402,6706,7017,7314,7655
Texas,33,4444,4503,4747,4887,5043,5116,5338,5543,5739,5846,6099,6265,6426,6873
Texas,34,2274,2443,2638,2788,2973,3113,3213,3404,3605,3813,4038,4192,4305,4431
Texas,35,3969,4179,4441,4658,4862,5275,5606,5764,6316,6602,6814,7201,7303,7530
Texas,36,2878,3033,3166,3336,3500,3557,3688,3824,4069,4266,4456,4519,4576,4693
Utah,1,1051,1076,1112,1145,1175,1198,1227,1245,1275,1312,1357,1400,1432,1478
Utah,2,2898,2975,3075,3189,3289,3359,3445,3536,3622,3724,3825,3931,4001,4080
Utah,3,5177,5300,5436,5614,5741,5861,6010,6159,6268,6404,6540,6713,6818,6940
Utah,4,5794,5954,6142,6356,6548,6685,6850,7029,7196,7377,7575,7764,7888,8029
Vermont,1,1159,1179,1186,1193,1195,1196,1202,1202,1204,1222,1231,1233,1244,1246
Virginia,1,5641,5672,5698,5756,5804,5843,5860,5914,5936,5985,6019,6061,6133,6145
Virginia,2,1471,1471,1473,1476,1480,1485,1487,1491,1492,1495,1500,1507,1517,1520
Virginia,3,211,211,214,215,224,224,228,230,233,232,238,243,247,249
Virginia,4,4575,4659,4703,4783,4845,4882,4902,4937,4960,4999,5050,5079,5112,5133
Virginia,5,2393,2407,2434,2461,2503,2533,2559,2601,2630,2659,2726,2790,2816,2855
Virginia,6,2519,2549,2578,2594,2631,2662,2738,2838,2855,2897,2962,2987,3014,3039
Virginia,7,5699,5769,5824,5907,5993,6023,6046,6083,6110,6146,6201,6247,6306,6321
Virginia,8,7048,7058,7073,7091,7122,7149,7172,7188,7198,7217,7248,7303,7345,7363
Virginia,9,961,975,985,997,1029,1061,1091,1122,1147,1168,1192,1207,1229,1249
Virginia,10,7480,7542,7608,7690,7811,7876,7926,7973,8044,8101,8158,8246,8308,8328
Virginia,11,9758,9797,9819,9859,9922,9964,9996,10034,10062,10099,10159,10231,10309,10339
Washington,1,2948,2985,3021,3055,3093,3107,3145,3188,3227,3284,3330,3360,3397,3436
Washington,2,2667,2696,2724,2752,2778,2784,2811,2845,2871,2912,2950,2975,2998,3019
Washington,3,944,963,978,996,1012,1024,1030,1074,1103,1150,1177,1311,1319,1335
Washington,4,9934,10135,10356,10590,10818,10998,11170,11311,11513,11788,11962,12100,12354,12948
Washington,5,1234,1281,1316,1363,1406,1428,1474,1590,1639,1696,1785,1810,1865,1977
Washington,6,909,925,940,952,972,982,989,1014,1025,1051,1074,1089,1107,1133
Washington,7,3254,3283,3323,3358,3404,3433,3474,3529,3572,3650,3701,3735,3789,3843
Washington,8,2812,2856,2894,2931,2983,3014,3060,3109,3163,3262,3320,3358,3419,3517
Washington,9,3221,3252,3293,3327,3375,3405,3446,3502,3545,3624,3677,3711,3766,3822
Washington,10,1438,1463,1484,1494,1523,1540,1557,1598,1619,1659,1698,1727,1758,1782
West Virginia,1,663,671,685,702,729,743,753,760,785,823,864,906,932,1045
West Virginia,2,1434,1443,1467,1475,1487,1505,1523,1538,1572,1584,1601,1622,1635,1671
West Virginia,3,494,515,542,553,566,584,594,602,622,646,661,677,695,726
Wisconsin,1,5619,5680,5731,5795,5855,5891,5925,6008,6063,6120,6196,6285,6357,6410
Wisconsin,2,1831,1906,2003,2136,2233,2361,2447,2607,2694,2808,2942,3078,3169,3264
Wisconsin,3,1111,1154,1220,1280,1351,1387,1415,1475,1537,1614,1671,1746,1785,1823
Wisconsin,4,7804,7908,8006,8109,8235,8332,8412,8518,8632,8737,8867,9062,9175,9297
Wisconsin,5,3115,3179,3225,3272,3349,3393,3434,3491,3560,3646,3716,3818,3913,3975
Wisconsin,6,1750,1769,1787,1812,1836,1868,1886,1916,1958,1985,2009,2052,2091,2121
Wisconsin,7,587,607,628,653,677,691,707,730,768,803,840,878,899,929
Wisconsin,8,3513,3560,3627,3691,3750,3820,3832,3913,3986,4025,4076,4136,4188,4242
Wyoming,1,1254,1282,1326,1368,1392,1417,1450,1487,1514,1550,1582,1606,1634,1675
